Datetime,Seconds for HTTP GET by IP,Seconds for HTTP GET by Hostname
2018-03-26T06:39:06Z,0.01,0.02
2018-03-26T06:39:16Z,0.01,0.02
2018-03-26T06:39:26Z,0.01,0.02
2018-03-26T06:39:36Z,0.01,0.02
2018-03-26T06:39:46Z,0.01,0.03
2018-03-26T06:39:56Z,0.01,0.02
2018-03-26T06:40:06Z,0.01,0.02
2018-03-26T06:40:16Z,0.01,0.02
2018-03-26T06:40:26Z,0.01,0.02
2018-03-26T06:40:36Z,0.01,0.04
2018-03-26T06:40:47Z,0.01,0.04
2018-03-26T06:40:57Z,0.01,0.02
2018-03-26T06:41:07Z,0.01,0.02
2018-03-26T06:41:17Z,0.01,0.03
2018-03-26T06:41:27Z,0.01,0.03
2018-03-26T06:41:37Z,0.02,0.03
2018-03-26T06:41:47Z,0.01,0.05
2018-03-26T06:41:57Z,0.02,0.04
2018-03-26T06:42:07Z,0.01,0.03
2018-03-26T06:42:17Z,0.02,0.02
2018-03-26T06:42:27Z,0.02,0.04
2018-03-26T06:42:37Z,0.01,0.03
2018-03-26T06:42:47Z,0.02,0.04
2018-03-26T06:42:57Z,0.01,0.02
2018-03-26T06:43:07Z,0.01,0.03
2018-03-26T06:43:18Z,0.02,0.03
2018-03-26T06:43:28Z,0.22,0.73
2018-03-26T06:43:39Z,0.01,0.04
2018-03-26T06:43:49Z,0.01,0.04
2018-03-26T06:43:59Z,0.01,0.03
2018-03-26T06:44:09Z,0.01,0.03
2018-03-26T06:44:19Z,0.01,0.03
2018-03-26T06:44:29Z,0.13,0.05
2018-03-26T06:44:39Z,0.02,0.02
2018-03-26T06:44:49Z,0.01,0.04
2018-03-26T06:44:59Z,0.01,0.06
2018-03-26T06:45:09Z,0.01,0.03
2018-03-26T06:45:19Z,0.01,0.02
2018-03-26T06:45:29Z,0.01,0.04
2018-03-26T06:45:40Z,0.01,0.04
2018-03-26T06:45:50Z,0.02,0.03
2018-03-26T06:46:00Z,0.01,0.04
