Datetime,Seconds for HTTP GET by IP,Seconds for HTTP GET by Hostname
2018-03-26T04:20:22Z,0.01,0.04
2018-03-26T04:20:32Z,0.01,0.02
2018-03-26T04:20:42Z,0.01,0.03
2018-03-26T04:20:52Z,0.02,0.02
2018-03-26T04:21:02Z,0.01,0.02
2018-03-26T04:21:12Z,0.01,0.03
2018-03-26T04:21:22Z,0.01,0.02
2018-03-26T04:21:32Z,0.02,0.02
2018-03-26T04:21:42Z,0.01,1.52
2018-03-26T04:21:54Z,0.01,0.02
2018-03-26T04:22:04Z,0.01,0.02
2018-03-26T04:22:14Z,0.09,0.02
2018-03-26T04:22:24Z,0.02,0.05
2018-03-26T04:22:34Z,0.01,0.02
2018-03-26T04:22:44Z,0.01,0.03
2018-03-26T04:22:54Z,0.01,0.02
2018-03-26T04:23:04Z,0.01,0.02
2018-03-26T04:23:14Z,0.01,0.02
2018-03-26T04:23:24Z,0.01,0.03
2018-03-26T04:23:34Z,0.01,0.02
2018-03-26T04:23:44Z,0.01,0.03
2018-03-26T04:23:54Z,0.02,0.02
2018-03-26T04:24:05Z,0.01,0.03
2018-03-26T04:24:15Z,0.01,0.03
2018-03-26T04:24:25Z,0.01,0.02
2018-03-26T04:24:35Z,0.01,0.02
2018-03-26T04:24:45Z,0.01,0.02
2018-03-26T04:24:55Z,0.01,0.26
2018-03-26T04:25:05Z,0.01,0.02
2018-03-26T04:25:15Z,0.02,0.02
2018-03-26T04:25:25Z,0.01,0.02
2018-03-26T04:25:35Z,0.01,0.03
2018-03-26T04:25:45Z,0.01,0.03
2018-03-26T04:25:55Z,0.01,0.02
2018-03-26T04:26:05Z,0.01,0.04
2018-03-26T04:26:15Z,0.01,5.53
2018-03-26T04:26:31Z,0.01,0.27
2018-03-26T04:26:41Z,0.01,0.03
2018-03-26T04:26:51Z,0.02,0.05
2018-03-26T04:27:02Z,0.01,0.03
2018-03-26T04:27:12Z,0.01,0.02
2018-03-26T04:27:22Z,0.01,0.03
2018-03-26T04:27:32Z,0.01,0.03
2018-03-26T04:27:42Z,0.01,0.03
2018-03-26T04:27:52Z,0.01,0.14
2018-03-26T04:28:02Z,0.01,1.52
2018-03-26T04:28:14Z,0.01,0.02
2018-03-26T04:28:24Z,0.01,0.04
2018-03-26T04:28:34Z,0.01,0.03
2018-03-26T04:28:44Z,0.01,0.02
2018-03-26T04:28:54Z,0.01,0.03
2018-03-26T04:29:04Z,0.11,0.02
2018-03-26T04:29:14Z,0.01,0.08
2018-03-26T04:29:24Z,0.04,0.02
2018-03-26T04:29:34Z,0.01,0.02
2018-03-26T04:29:44Z,0.11,0.22
2018-03-26T04:29:55Z,0.01,0.02
2018-03-26T04:30:05Z,0.02,0.03
2018-03-26T04:30:15Z,0.01,0.02
2018-03-26T04:30:25Z,0.01,0.04
2018-03-26T04:30:35Z,0.01,5.52
2018-03-26T04:30:50Z,0.03,0.03
2018-03-26T04:31:00Z,0.02,0.02
2018-03-26T04:31:10Z,0.01,0.02
2018-03-26T04:31:21Z,0.01,0.02
2018-03-26T04:31:31Z,0.01,0.02
2018-03-26T04:31:41Z,0.01,0.27
2018-03-26T04:31:51Z,0.01,0.03
2018-03-26T04:32:01Z,0.01,0.03
2018-03-26T04:32:11Z,0.01,0.02
2018-03-26T04:32:21Z,0.01,0.04
2018-03-26T04:32:31Z,0.01,0.04
2018-03-26T04:32:41Z,0.01,5.53
2018-03-26T04:32:57Z,0.09,0.02
2018-03-26T04:33:07Z,0.02,0.04
2018-03-26T04:33:17Z,0.01,0.02
2018-03-26T04:33:27Z,0.02,0.03
2018-03-26T04:33:37Z,0.01,0.02
2018-03-26T04:33:47Z,0.01,0.03
2018-03-26T04:33:57Z,0.01,0.02
2018-03-26T04:34:07Z,0.01,5.55
2018-03-26T04:34:23Z,0.01,0.02
2018-03-26T04:34:33Z,0.01,0.02
2018-03-26T04:34:43Z,0.01,0.27
2018-03-26T04:34:53Z,0.01,0.03
2018-03-26T04:35:03Z,0.01,0.02
2018-03-26T04:35:13Z,0.02,0.03
2018-03-26T04:35:24Z,0.01,0.03
2018-03-26T04:35:34Z,0.02,0.03
2018-03-26T04:35:44Z,0.01,0.27
2018-03-26T04:35:54Z,0.01,5.53
2018-03-26T04:36:10Z,0.01,0.03
2018-03-26T04:36:20Z,0.01,0.02
2018-03-26T04:36:30Z,0.45,0.21
2018-03-26T04:36:40Z,0.01,0.02
2018-03-26T04:36:50Z,0.04,0.09
2018-03-26T04:37:01Z,0.02,0.02
2018-03-26T04:37:11Z,0.01,0.03
2018-03-26T04:37:21Z,0.02,0.02
2018-03-26T04:37:31Z,0.03,0.02
2018-03-26T04:37:41Z,0.01,0.02
2018-03-26T04:37:51Z,0.03,0.04
2018-03-26T04:38:01Z,0.04,5.54
2018-03-26T04:38:17Z,0.01,0.03
2018-03-26T04:38:27Z,0.01,5.52
2018-03-26T04:38:42Z,0.02,0.02
2018-03-26T04:38:52Z,0.01,0.02
2018-03-26T04:39:02Z,0.02,1.09
2018-03-26T04:39:13Z,0.00,0.02
2018-03-26T04:39:23Z,0.02,0.03
2018-03-26T04:39:33Z,0.03,0.05
2018-03-26T04:39:44Z,0.02,0.04
2018-03-26T04:39:54Z,0.01,0.02
2018-03-26T04:40:04Z,0.02,0.03
2018-03-26T04:40:14Z,0.01,0.02
2018-03-26T04:40:24Z,0.01,0.07
2018-03-26T04:40:34Z,0.11,0.04
2018-03-26T04:40:44Z,0.03,0.09
2018-03-26T04:40:54Z,0.02,0.07
2018-03-26T04:41:04Z,0.01,0.02
2018-03-26T04:41:14Z,0.02,5.56
2018-03-26T04:41:30Z,0.08,0.09
2018-03-26T04:41:40Z,0.01,0.03
2018-03-26T04:41:50Z,0.01,0.05
2018-03-26T04:42:00Z,0.02,0.03
2018-03-26T04:42:10Z,0.01,0.27
2018-03-26T04:42:21Z,0.01,0.07
2018-03-26T04:42:31Z,0.02,0.16
2018-03-26T04:42:41Z,0.02,0.02
2018-03-26T04:42:51Z,0.01,0.03
2018-03-26T04:43:01Z,0.03,0.09
2018-03-26T04:43:11Z,0.01,0.02
2018-03-26T04:43:21Z,0.01,0.03
2018-03-26T04:43:31Z,0.01,5.57
2018-03-26T04:43:47Z,0.01,0.02
2018-03-26T04:43:57Z,0.01,0.02
2018-03-26T04:44:07Z,0.76,5.08
2018-03-26T04:44:23Z,0.05,0.01
2018-03-26T04:44:33Z,0.01,0.03
2018-03-26T04:44:43Z,0.01,0.02
2018-03-26T04:44:53Z,0.01,0.03
2018-03-26T04:45:03Z,0.01,5.53
2018-03-26T04:45:19Z,0.02,0.03
2018-03-26T04:45:29Z,0.01,0.03
2018-03-26T04:45:39Z,0.02,0.07
2018-03-26T04:45:49Z,0.01,0.09
2018-03-26T04:45:59Z,0.02,0.03
2018-03-26T04:46:09Z,0.01,5.53
2018-03-26T04:46:25Z,0.03,5.53
2018-03-26T04:46:40Z,0.01,0.03
2018-03-26T04:46:50Z,0.02,0.05
2018-03-26T04:47:01Z,0.01,0.03
2018-03-26T04:47:11Z,0.02,0.03
2018-03-26T04:47:21Z,0.02,0.02
2018-03-26T04:47:31Z,0.01,0.07
2018-03-26T04:47:41Z,0.01,0.03
2018-03-26T04:47:51Z,0.06,0.05
2018-03-26T04:48:01Z,0.01,0.03
2018-03-26T04:48:11Z,0.02,5.53
2018-03-26T04:48:27Z,0.01,0.03
2018-03-26T04:48:37Z,0.01,0.03
2018-03-26T04:48:47Z,0.01,0.04
2018-03-26T04:48:57Z,0.01,0.12
2018-03-26T04:49:07Z,0.01,5.52
2018-03-26T04:49:23Z,0.01,0.02
2018-03-26T04:49:33Z,0.02,5.52
2018-03-26T04:49:48Z,0.02,0.03
2018-03-26T04:49:58Z,0.02,0.01
2018-03-26T04:50:08Z,0.02,0.02
2018-03-26T04:50:18Z,0.01,0.02
2018-03-26T04:50:28Z,0.09,0.03
2018-03-26T04:50:39Z,0.02,5.53
2018-03-26T04:50:54Z,0.01,5.53
2018-03-26T04:51:10Z,0.01,0.02
2018-03-26T04:51:20Z,0.01,0.27
2018-03-26T04:51:30Z,0.02,5.52
2018-03-26T04:51:46Z,0.02,0.02
2018-03-26T04:51:56Z,0.01,0.02
2018-03-26T04:52:06Z,0.02,0.27
2018-03-26T04:52:16Z,0.02,0.03
2018-03-26T04:52:26Z,0.01,0.02
2018-03-26T04:52:36Z,0.01,5.53
2018-03-26T04:52:52Z,0.01,0.27
2018-03-26T04:53:02Z,0.02,0.03
2018-03-26T04:53:12Z,0.01,0.02
2018-03-26T04:53:22Z,0.01,0.02
2018-03-26T04:53:32Z,0.01,0.02
2018-03-26T04:53:42Z,0.01,0.03
